token_id,form,lemma,method,resolved_entity
101752,γέγραπται,γράφω,LLM,IMPERSONAL_OR_NONE
101781,ἑτοιμάσατε,ἑτοιμάζω,LLM,CROWD
101787,ποιεῖτε,ποιέω,LLM,IMPERSONAL_OR_NONE
101821,ἐβαπτίζοντο,βαπτίζω,HEURISTIC,ἹΕΡΟΣΟΛΥΜΊΤΗΣ
101856,ἐκήρυσσεν,κηρύσσω,HEURISTIC,ἸΩΆΝ(Ν)ΗΣ
101868,εἰμὶ,εἰμί#1,LLM,IOANNES
101892,ἐγένετο,γίγνομαι,HEURISTIC,ΑΥ̓ΤΌΣ
101904,ἐβαπτίσθη,βαπτίζω,HEURISTIC,IESOUS
101917,εἶδεν,ὁράω,HEURISTIC,IESOUS
101946,εὐδόκησα,εὐδοκέω,LLM,THEOS
101959,ἦν,εἰμί#1,HEURISTIC,ΠΝΕΥ͂ΜΑ
101971,ἦν,εἰμί#1,HEURISTIC,ΠΝΕΥ͂ΜΑ
102012,μετανοεῖτε,μετανοέω,LLM,CROWD
102014,πιστεύετε,πιστεύω,LLM,CROWD
102026,εἶδεν,ὁράω,HEURISTIC,ΒΑΣΙΛΕΊΑ
102038,ἦσαν,εἰμί#1,HEURISTIC,ΒΑΣΙΛΕΊΑ
102053,ποιήσω,ποιέω,LLM,IESOUS
102064,ἠκολούθησαν,ἀκολουθέω,HEURISTIC,ὙΜΕΙ͂Σ
102070,εἶδεν,ὁράω,HEURISTIC,ὙΜΕΙ͂Σ
102092,ἐκάλεσεν,καλέω,HEURISTIC,ὙΜΕΙ͂Σ
102107,ἀπῆλθον,ἀπέρχομαι,HEURISTIC,ὙΜΕΙ͂Σ
102112,εἰσπορεύονται,εἰσπορεύομαι,HEURISTIC,ὙΜΕΙ͂Σ
102120,ἐδίδασκεν,διδάσκω,HEURISTIC,ὙΜΕΙ͂Σ
102126,ἐξεπλήσσοντο,ἐκπλήσσω,HEURISTIC,ὙΜΕΙ͂Σ
102159,ἀνέκραξεν,ἀνακράζω,HEURISTIC,ἌΝΘΡΩΠΟΣ
102170,ἦλθες,ἔρχομαι,LLM,IESOUS
102174,οἴδαμέν,οἶδα,LLM,UNCLEAN_SPIRITS
102177,εἶ,εἰμί#1,LLM,IESOUS
102190,φιμώθητι,φιμόω,LLM,UNCLEAN_SPIRIT
102192,ἔξελθε,ἐξέρχομαι,LLM,UNCLEAN_SPIRIT
102234,ἐπιτάσσει,ἐπιτάσσω,HEURISTIC,ΟὟΤΟΣ
102237,ὑπακούουσιν,ὑπακούω,HEURISTIC,ΟὟΤΟΣ
102260,ἦλθον,ἔρχομαι,HEURISTIC,ἈΚΟΉ
102281,λέγουσιν,λέγω,LLM,DISCIPLES
102288,ἤγειρεν,ἐγείρω,HEURISTIC,ΠΕΝΘΕΡΆ
102301,διηκόνει,διακονέω,HEURISTIC,ΠΥΡΕΤΌΣ
102313,ἔφερον,φέρω,LLM,CROWD
102335,ἐθεράπευσεν,θεραπεύω,HEURISTIC,ΠΌΛΙΣ
102345,ἐξέβαλεν,ἐκβάλλω,HEURISTIC,ΠΌΛΙΣ
102349,ἤφιεν,ἀφίημι,HEURISTIC,ΠΌΛΙΣ
102355,ᾔδεισαν,οἶδα,HEURISTIC,ΔΑΙΜΌΝΙΟΝ
102363,ἐξῆλθεν,ἐξέρχομαι,HEURISTIC,ΔΑΙΜΌΝΙΟΝ
102365,ἀπῆλθεν,ἀπέρχομαι,HEURISTIC,ΔΑΙΜΌΝΙΟΝ
