form	lemma	pos	morphology
αὐτοῦ	αὐτός	Pp	3s---mg--i
αὐτοὺς	αὐτός	Pp	3p---ma--i
αὐτῆς	αὐτός	Pp	3s---fg--i
αὐτὴν	αὐτός	Pp	3s---fa--i
αὐτήν	αὐτός	Pp	3s---fa--i
ταῦτα	οὗτος	Pd	-p---na--i
αὐτῷ	αὐτός	Pp	3s---md--i
σου	σύ	Pp	2s---pg--i
αὐτῇ	αὐτός	Pp	3s---fd--i
αὐτὸς	αὐτός	Pp	3s---mn--i
αὐτῶν	αὐτός	Pp	3p---mg--i
τοῦτο	οὗτος	Pd	-s---nn--i
ἡμῶν	ἡμεῖς	Pp	1p---pg--i
σύ	σύ	Pp	2s---pn--i
σοῦ	σύ	Pp	2s---pg--i
μου	ἐγώ	Pp	1s---mg--i
μοι	ἐγώ	Pp	1s---md--i
ἐγώ	ἐγώ	Pp	1s---mn--i
σοι	σύ	Pp	2s---pd--i
αὐτό	αὐτός	Pp	3s---na--i
ἐκείναις	ἐκεῖνος	Pd	-p---fd--i
οὗτος	οὗτος	Pd	-s---mn--i
αὐτὸν	αὐτός	Pp	3s---ma--i
αὐτοῖς	αὐτός	Pp	3p---md--i
ὑμῖν	ὑμεῖς	Pp	2p---pd--i
τούτων	οὗτος	Pd	-p---mg--i
ἐγὼ	ἐγώ	Pp	1s---mn--i
ὑμᾶς	ὑμεῖς	Pp	2p---pa--i
μού	ἐγώ	Pp	1s---mg--i
σὺ	σύ	Pp	2s---pn--i
με	ἐγώ	Pp	1s---ma--i
αὐτόν	αὐτός	Pp	3s---ma--i
ἡμῖν	ἡμεῖς	Pp	1p---md--i
οὗτός	οὗτος	Pd	-s---mn--i
οὗτοι	οὗτος	Pd	-p---mn--i
σε	σύ	Pp	2s---pa--i
ταῦτά	οὗτος	Pd	-p---na--i
αὐτούς	αὐτός	Pp	3p---ma--i
αὐτοὶ	αὐτός	Pp	3p---mn--i
ὑμῶν	ὑμεῖς	Pp	2p---pg--i
ἐμοῦ	ἐγώ	Pp	1s---mg--i
Ὑμεῖς	ὑμεῖς	Pp	2p---pn--i
αὐτὸ	αὐτός	Pp	3s---na--i
ὑμεῖς	ὑμεῖς	Pp	2p---pn--i
ἡμεῖς	ἡμεῖς	Pp	1p---pn--i
ἡμᾶς	ἡμεῖς	Pp	1p---pa--i
σοὶ	σύ	Pp	2s---pd--i
αὐτά	αὐτός	Pp	3p---na--i
ἐκείνῃ	ἐκεῖνος	Pd	-s---fd--i
τούτους	οὗτος	Pd	-p---ma--i
τούτῳ	οὗτος	Pd	-s---md--i
ἐκείνης	ἐκεῖνος	Pd	-s---fg--i
σοί	σύ	Pp	2s---pd--i
Ταῦτα	οὗτος	Pd	-p---na--i
αὕτη	οὗτος	Pd	-s---fn--i
ἐκείνην	ἐκεῖνος	Pd	-s---fa--i
Αὐτῶν	αὐτός	Pp	3p---mg--i
αὐτὰ	αὐτός	Pp	3p---na--i
Τούτους	οὗτος	Pd	-p---ma--i
ταύτῃ	οὗτος	Pd	-s---fd--i
ἐμοὶ	ἐγώ	Pp	1s---md--i
