form	lemma	pos	morphology
λεγόμενος	λέγω	V-	-spppmn--i
λέγων	λέγω	V-	-sppamn--i
ῥηθὲν	λέγω	V-	-sappnn--i
λέγοντος	λέγω	V-	-sppamg--i
λέγοντες	λέγω	V-	-pppamn--i
εἶπαν	λέγω	V-	3paia----i
γέγραπται	γράφω	V-	3srip----i
εἶπεν	λέγω	V-	3saia----i
ἀπαγγείλατέ	ἀπαγγέλλω	V-	2pama----i
εἴπω	λέγω	V-	1sasa----i
παρακληθῆναι	παρακαλέω	V-	--anp----i
λεγομένην	λέγω	V-	-spppfa--i
κηρύσσων	κηρύσσω	V-	-sppamn--i
ῥηθεὶς	λέγω	V-	-sappmn--i
λέγειν	λέγω	V-	--pna----i
λέγω	λέγω	V-	1spia----i
λέγουσα	λέγω	V-	-sppafn--i
εἰπὲ	λέγω	V-	2sama----i
λέγει	λέγω	V-	3spia----i
ἔφη	φημί	V-	3siia----i
κηρύσσειν	κηρύσσω	V-	--pna----i
λεγόμενον	λέγω	V-	-spppma--i
διδάσκων	διδάσκω	V-	-sppamn--i
ἐδίδασκεν	διδάσκω	V-	3siia----i
παρακληθήσονται	παρακαλέω	V-	3pfip----i
εἴπωσιν	λέγω	V-	3pasa----i
διδάξῃ	διδάσκω	V-	3sasa----i
ἐρρέθη	λέγω	V-	3saip----i
εἴπῃ	λέγω	V-	3sasa----i
Ἐρρέθη	λέγω	V-	3saip----i
αἰτοῦντί	αἰτέω	V-	-sppamd--i
αἰτῆσαι	αἰτέω	V-	--ana----i
ἐρεῖς	λέγω	V-	2sfia----i
Αἰτεῖτε	αἰτέω	V-	2ppma----i
αἰτῶν	αἰτέω	V-	-sppamn--i
αἰτήσει	αἰτέω	V-	3sfia----i
αἰτοῦσιν	αἰτέω	V-	-pppamd--i
ἐροῦσίν	λέγω	V-	3pfia----i
ὁμολογήσω	ὁμολογέω	V-	1sfia----i
εἴπῃς	λέγω	V-	2sasa----i
παρακαλῶν	παρακαλέω	V-	-sppamn--i
ἔκραξαν	κράζω	V-	3paia----i
παρεκάλουν	παρακαλέω	V-	3piia----i
ἀπήγγειλαν	ἀπαγγέλλω	V-	3paia----i
παρεκάλεσαν	παρακαλέω	V-	3paia----i
εἶπον	λέγω	V-	3paia----i
εἰπεῖν	λέγω	V-	--ana----i
ἔλεγον	λέγω	V-	3piia----i
λαλοῦντος	λαλέω	V-	-sppamg--i
ἔλεγεν	λέγω	V-	3siia----i
κράζοντες	κράζω	V-	-pppamn--i
λέγουσιν	λέγω	V-	3ppia----i
ἐλάλησεν	λαλέω	V-	3saia----i
κηρύσσετε	κηρύσσω	V-	2ppma----i
λαλήσητε	λαλέω	V-	2pasa----i
λαλοῦντες	λαλέω	V-	-pppamn--i
λαλοῦν	λαλέω	V-	-sppann--i
εἴπατε	λέγω	V-	2pama----i
κηρύξατε	κηρύσσω	V-	2pama----i
ὁμολογήσει	ὁμολογέω	V-	3sfia----i
διδάσκειν	διδάσκω	V-	--pna----i
ἀπαγγείλατε	ἀπαγγέλλω	V-	2pama----i
ἐπηρώτησαν	ἐπερωτάω	V-	3paia----i
ἀπαγγελεῖ	ἀπαγγέλλω	V-	3sfia----i
λαλεῖν	λαλέω	V-	--pna----i
λαλεῖ	λαλέω	V-	3spia----i
λαλήσουσιν	λαλέω	V-	3pfia----i
λαλῆσαι	λαλέω	V-	--ana----i
λαλῆσαι.	λαλέω	V-	--ana----i
λέγοντι	λέγω	V-	-sppamd--i
λαλεῖς	λαλέω	V-	2spia----i
λαλῶ	λαλέω	V-	1spia----i
φησίν	φημί	V-	3spia----i
ἐρῶ	λέγω	V-	1sfia----i
ἐλάλει	λαλέω	V-	3siia----i
λέγεται	λέγω	V-	3spip----i
ὡμολόγησεν	ὁμολογέω	V-	3saia----i
αἰτήσηται	αἰτέω	V-	3sasm----i
ἔκραξεν	κράζω	V-	3saia----i
λέγετε	λέγω	V-	2ppia----i
διδάσκοντες	διδάσκω	V-	-pppamn--i
ἔκραζεν	κράζω	V-	3siia----i
ἠρώτουν	ἐρωτάω	V-	3piia----i
κράζει	κράζω	V-	3spia----i
λαλοῦντας	λαλέω	V-	-pppama--i
ἠρώτα	ἐρωτάω	V-	3siia----i
εἴπητε	λέγω	V-	2pasa----i
ἐρεῖτε	λέγω	V-	2pfia----i
εἰπόντος	λέγω	V-	-sapamg--i
εἰπὸν	λέγω	V-	2sama----i
αἰτήσωνται	αἰτέω	V-	3pasm----i
παρεκάλει	παρακαλέω	V-	3siia----i
παρεκάλεσάς	παρακαλέω	V-	2saia----i
ἐρωτᾷς	ἐρωτάω	V-	2spia----i
αἰτοῦσά	αἰτέω	V-	-sppafn--i
